0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
3 			Model Error:1.81898940354586E-11[20256,20351] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[20352,20447] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[20448,20543] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[20544,20639] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[20640,20735] 107 Trend 0 
2 		Model Error:484.841195406279[20736,21503] 113 Explicit 8 
3 			Model Error:1.81898940354586E-11[20736,20831] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[20832,20927] 107 Trend 0 
3 			Model Error:7.27595761418343E-12[20928,21023] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[21024,21119] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[21120,21215] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[21216,21311] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[21312,21407] 107 Trend 0 
3 			Model Error:7.27595761418343E-12[21408,21503] 107 Trend 0 
2 		Model Error:476.458545086734[21504,21887] 109 Explicit 4 
3 			Model Error:1.09139364212751E-11[21504,21599] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[21600,21695] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[21696,21791] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[21792,21887] 107 Trend 0 
2 		Model Error:288.241264538665[21888,22079] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[21888,21983] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[21984,22079] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[22080,22175] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[22176,22271] 107 Trend 0 
2 		Model Error:92.4897463873931[22272,22463] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[22272,22367] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[22368,22463] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[22464,22559] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[22560,22655] 107 Trend 0 
1 	Model Error:766.974592067119[22656,25151] 131 Explicit 16 
2 		Model Error:390.231359754223[22656,22847] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[22656,22751] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[22752,22847] 107 Trend 0 
2 		Model Error:494.539738565534[22848,23039] 107 Explicit 2 
3 			Model Error:1.09139364212751E-11[22848,22943] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[22944,23039] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[23040,23135] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[23136,23231] 107 Trend 0 
2 		Model Error:345.09328415279[23232,23423] 107 Explicit 2 
3 			Model Error:2.5465851649642E-11[23232,23327] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[23328,23423] 107 Trend 0 
2 		Model Error:490.734718684645[23424,23615] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[23424,23519] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[23520,23615] 107 Trend 0 
2 		Model Error:148.175809384364[23616,23807] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[23616,23711] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[23712,23807] 107 Trend 0 
2 		Model Error:7.27595761418343E-12[23808,23903] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[23904,23999] 107 Trend 0 
2 		Model Error:382.345703700405[24000,24191] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[24000,24095] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[24096,24191] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[24192,24287] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[24288,24383] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[24384,24479] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[24480,24575] 107 Trend 0 
2 		Model Error:361.421660033793[24576,24959] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[24576,24671] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[24672,24767] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[24768,24863] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[24864,24959] 107 Trend 0 
