0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:2.91038304567337E-11[87648,87743] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[87744,87839] 106 Explicit 0 
2 		Model Error:3.27418092638254E-11[87840,87935] 106 Explicit 0 
2 		Model Error:383.422370130142[87936,88127] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[87936,88031] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[88032,88127] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[88128,88223] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[88224,88319] 107 Trend 0 
2 		Model Error:233.359582979618[88320,88511] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[88320,88415] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[88416,88511] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[88512,88607] 106 Explicit 0 
1 	Model Error:757.308640944022[88608,89855] 118 Explicit 8 
2 		Model Error:2.91038304567337E-11[88608,88703] 107 Trend 0 
2 		Model Error:421.648415449949[88704,88895] 107 Trend 2 
3 			Model Error:3.27418092638254E-11[88704,88799] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[88800,88895] 107 Trend 0 
2 		Model Error:481.739865910626[88896,89087] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[88896,88991] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[88992,89087] 107 Trend 0 
2 		Model Error:3.27418092638254E-11[89088,89183] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[89184,89279] 107 Trend 0 
2 		Model Error:481.425953784215[89280,89471] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[89280,89375] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[89376,89471] 107 Trend 0 
2 		Model Error:463.54098219252[89472,89663] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[89472,89567] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[89568,89663] 107 Trend 0 
2 		Model Error:165.039265507374[89664,89855] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[89664,89759] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[89760,89855] 106 Explicit 0 
1 	Model Error:714.352341647354[89856,92159] 129 Explicit 16 
2 		Model Error:2.91038304567337E-11[89856,89951] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[89952,90047] 106 Explicit 0 
2 		Model Error:478.956169338813[90048,90239] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[90048,90143] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[90144,90239] 107 Trend 0 
2 		Model Error:301.159049305948[90240,90431] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[90240,90335] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[90336,90431] 106 Explicit 0 
2 		Model Error:3.27418092638254E-11[90432,90527] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[90528,90623] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[90624,90719] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[90720,90815] 106 Explicit 0 
2 		Model Error:429.853209555091[90816,91007] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[90816,90911] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[90912,91007] 107 Trend 0 
2 		Model Error:427.054261141253[91008,91391] 109 Explicit 4 
3 			Model Error:2.91038304567337E-11[91008,91103] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[91104,91199] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[91200,91295] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[91296,91391] 107 Trend 0 
2 		Model Error:487.60016169439[91392,91583] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[91392,91487] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[91488,91583] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[91584,91679] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[91680,91775] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[91776,91871] 106 Explicit 0 
2 		Model Error:1.09139364212751E-11[91872,91967] 107 Trend 0 
2 		Model Error:284.41068312819[91968,92159] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[91968,92063] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[92064,92159] 107 Trend 0 
1 	Model Error:659.861929077022[92160,94463] 129 Explicit 16 
2 		Model Error:2.5465851649642E-11[92160,92255] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[92256,92351] 107 Trend 0 
2 		Model Error:93.3521860736437[92352,92543] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[92352,92447] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[92448,92543] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[92544,92639] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[92640,92735] 106 Explicit 0 
2 		Model Error:392.002232531348[92736,92927] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[92736,92831] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[92832,92927] 107 Trend 0 
2 		Model Error:483.083001656996[92928,93119] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[92928,93023] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[93024,93119] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[93120,93215] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[93216,93311] 107 Trend 0 
2 		Model Error:493.06844256659[93312,93695] 109 Explicit 4 
3 			Model Error:2.91038304567337E-11[93312,93407] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[93408,93503] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[93504,93599] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[93600,93695] 107 Trend 0 
2 		Model Error:146.009449682635[93696,93887] 107 Explicit 2 
3 			Model Error:2.5465851649642E-11[93696,93791] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[93792,93887] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[93888,93983] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[93984,94079] 107 Trend 0 
2 		Model Error:381.416694663974[94080,94271] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[94080,94175] 106 Explicit 0 
3 			Model Error:2.5465851649642E-11[94176,94271] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[94272,94367] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[94368,94463] 107 Trend 0 
1 	Model Error:988.350757431588[94464,96671] 128 Explicit 16 
2 		Model Error:1.45519152283669E-11[94464,94559] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[94560,94655] 107 Trend 0 
2 		Model Error:302.392724662721[94656,94847] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[94656,94751] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[94752,94847] 106 Explicit 0 
2 		Model Error:359.023015290382[94848,95039] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[94848,94943] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[94944,95039] 107 Trend 0 
2 		Model Error:187.824034220335[95040,95231] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[95040,95135] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[95136,95231] 106 Explicit 0 
2 		Model Error:4.00177668780088E-11[95232,95327] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[95328,95423] 107 Trend 0 
2 		Model Error:351.756413750365[95424,95615] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[95424,95519] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[95520,95615] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[95616,95711] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[95712,95807] 106 Explicit 0 
2 		Model Error:383.049762408398[95808,95999] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[95808,95903] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[95904,95999] 107 Trend 0 
2 		Model Error:236.089504701253[96000,96191] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[96000,96095] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[96096,96191] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[96192,96287] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[96288,96383] 107 Trend 0 
2 		Model Error:173.273851020123[96384,96575] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[96384,96479] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[96480,96575] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[96576,96671] 106 Explicit 0 
1 	Model Error:578.316186900862[96672,97631] 115 Explicit 4 
2 		Model Error:2.91038304567337E-11[96672,96767] 107 Trend 0 
2 		Model Error:458.398727695989[96768,97151] 109 Explicit 4 
3 			Model Error:4.36557456851006E-11[96768,96863] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[96864,96959] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[96960,97055] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[97056,97151] 107 Trend 0 
2 		Model Error:442.774968806305[97152,97535] 109 Explicit 4 
3 			Model Error:2.18278728425503E-11[97152,97247] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[97248,97343] 107 Trend 0 
3 			Model Error:7.27595761418343E-12[97344,97439] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[97440,97535] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[97536,97631] 106 Explicit 0 
1 	Model Error:909.486509517046[97632,97919] 107 Trend 2 
2 		Model Error:2.91038304567337E-11[97632,97727] 107 Trend 0 
2 		Model Error:397.312960791904[97728,97919] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[97728,97823] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[97824,97919] 106 Explicit 0 
1 	Model Error:517.216913657612[97920,98111] 107 Explicit 2 
2 		Model Error:3.63797880709171E-11[97920,98015] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[98016,98111] 107 Trend 0 
1 	Model Error:683.543571133407[98112,99071] 115 Explicit 8 
2 		Model Error:349.217659419475[98112,98303] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[98112,98207] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[98208,98303] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[98304,98399] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[98400,98495] 106 Explicit 0 
2 		Model Error:435.346149529869[98496,98687] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[98496,98591] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[98592,98687] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[98688,98783] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[98784,98879] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[98880,98975] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[98976,99071] 107 Trend 0 
1 	Model Error:603.312620187127[99072,100223] 117 Explicit 8 
2 		Model Error:234.734418554133[99072,99263] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[99072,99167] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[99168,99263] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[99264,99359] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[99360,99455] 107 Trend 0 
2 		Model Error:342.718286826064[99456,99647] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[99456,99551] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[99552,99647] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[99648,99743] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[99744,99839] 106 Explicit 0 
2 		Model Error:460.705922970577[99840,100031] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[99840,99935] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[99936,100031] 107 Trend 0 
2 		Model Error:394.731643106759[100032,100223] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[100032,100127] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[100128,100223] 107 Trend 0 
1 	Model Error:685.315688297705[100224,100415] 107 Trend 2 
2 		Model Error:2.18278728425503E-11[100224,100319] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[100320,100415] 107 Trend 0 
1 	Model Error:2.18278728425503E-11[100416,100511] 107 Trend 0 
1 	Model Error:1.45519152283669E-11[100512,100607] 107 Trend 0 
1 	Model Error:715.644950888032[100608,100799] 107 Explicit 2 
2 		Model Error:2.91038304567337E-11[100608,100703] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[100704,100799] 106 Explicit 0 
1 	Model Error:2.18278728425503E-11[100800,100895] 107 Trend 0 
1 	Model Error:4.36557456851006E-11[100896,100991] 107 Trend 0 
1 	Model Error:802.570965991232[100992,103007] 126 Explicit 16 
2 		Model Error:2.91038304567337E-11[100992,101087] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[101088,101183] 107 Trend 0 
2 		Model Error:454.782018009289[101184,101375] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[101184,101279] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[101280,101375] 107 Trend 0 
2 		Model Error:301.256768953594[101376,101567] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[101376,101471] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[101472,101567] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[101568,101663] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[101664,101759] 107 Trend 0 
2 		Model Error:329.562545733017[101760,101951] 107 Trend 2 
3 			Model Error:5.0931703299284E-11[101760,101855] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[101856,101951] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[101952,102047] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[102048,102143] 107 Trend 0 
2 		Model Error:346.523287030963[102144,102335] 107 Trend 2 
3 			Model Error:6.54836185276508E-11[102144,102239] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[102240,102335] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[102336,102431] 106 Explicit 0 
2 		Model Error:5.0931703299284E-11[102432,102527] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[102528,102623] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[102624,102719] 107 Trend 0 
2 		Model Error:243.510604954252[102720,102911] 107 Implicit 2 
3 			Model Error:2.18278728425503E-11[102720,102815] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[102816,102911] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[102912,103007] 107 Trend 0 
1 	Model Error:973.90073984769[103008,105023] 126 Explicit 16 
2 		Model Error:2.18278728425503E-11[103008,103103] 106 Explicit 0 
2 		Model Error:244.607138510619[103104,103295] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[103104,103199] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[103200,103295] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[103296,103391] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[103392,103487] 107 Trend 0 
2 		Model Error:318.895415909494[103488,103679] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[103488,103583] 106 Explicit 0 
3 			Model Error:4.36557456851006E-11[103584,103679] 106 Explicit 0 
2 		Model Error:422.630304005099[103680,103871] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[103680,103775] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[103776,103871] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[103872,103967] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[103968,104063] 107 Trend 0 
2 		Model Error:379.501209119117[104064,104255] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[104064,104159] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[104160,104255] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[104256,104351] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[104352,104447] 107 Trend 0 
2 		Model Error:154.847470738765[104448,104639] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[104448,104543] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[104544,104639] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[104640,104735] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[104736,104831] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[104832,104927] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[104928,105023] 107 Trend 0 
1 	Model Error:962.52376715593[105024,105887] 114 Explicit 8 
2 		Model Error:2.91038304567337E-11[105024,105119] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[105120,105215] 107 Trend 0 
2 		Model Error:434.78916778072[105216,105407] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[105216,105311] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[105312,105407] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[105408,105503] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[105504,105599] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[105600,105695] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[105696,105791] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[105792,105887] 107 Trend 0 
1 	Model Error:782.820880854455[105888,106751] 114 Explicit 8 
2 		Model Error:1.81898940354586E-11[105888,105983] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[105984,106079] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[106080,106175] 107 Trend 0 
2 		Model Error:352.189647835912[106176,106367] 107 Trend 2 
3 			Model Error:3.27418092638254E-11[106176,106271] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[106272,106367] 107 Trend 0 
2 		Model Error:3.27418092638254E-11[106368,106463] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[106464,106559] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[106560,106655] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[106656,106751] 107 Trend 0 
1 	Model Error:839.117542307627[106752,109727] 136 Explicit 16 
2 		Model Error:463.86345322353[106752,106943] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[106752,106847] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[106848,106943] 107 Trend 0 
2 		Model Error:428.373389201799[106944,107135] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[106944,107039] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[107040,107135] 107 Trend 0 
2 		Model Error:296.815835454596[107136,107327] 107 Explicit 2 
3 			Model Error:5.0931703299284E-11[107136,107231] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[107232,107327] 106 Explicit 0 
2 		Model Error:467.940819512209[107328,107519] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[107328,107423] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[107424,107519] 107 Trend 0 
2 		Model Error:471.090094565894[107520,107711] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[107520,107615] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[107616,107711] 107 Trend 0 
2 		Model Error:452.773525880177[107712,107903] 107 Implicit 2 
3 			Model Error:1.81898940354586E-11[107712,107807] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[107808,107903] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[107904,107999] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[108000,108095] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[108096,108191] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[108192,108287] 106 Explicit 0 
2 		Model Error:494.547312542934[108288,109055] 113 Explicit 8 
3 			Model Error:5.0931703299284E-11[108288,108383] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[108384,108479] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[108480,108575] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[108576,108671] 106 Explicit 0 
3 			Model Error:5.0931703299284E-11[108672,108767] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[108768,108863] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[108864,108959] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[108960,109055] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[109056,109151] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[109152,109247] 107 Trend 0 
2 		Model Error:478.758776174232[109248,109439] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[109248,109343] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[109344,109439] 106 Explicit 0 
2 		Model Error:478.322460852207[109440,109631] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[109440,109535] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[109536,109631] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[109632,109727] 106 Explicit 0 
1 	Model Error:658.94796676407[109728,112127] 130 Explicit 16 
2 		Model Error:2.91038304567337E-11[109728,109823] 106 Explicit 0 
2 		Model Error:258.433587416992[109824,110015] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[109824,109919] 106 Explicit 0 
3 			Model Error:2.5465851649642E-11[109920,110015] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[110016,110111] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[110112,110207] 106 Explicit 0 
2 		Model Error:85.3474516769347[110208,110399] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[110208,110303] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[110304,110399] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[110400,110495] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[110496,110591] 107 Trend 0 
2 		Model Error:314.165174478861[110592,110783] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[110592,110687] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[110688,110783] 106 Explicit 0 
2 		Model Error:1.09139364212751E-11[110784,110879] 107 Trend 0 
2 		Model Error:3.27418092638254E-11[110880,110975] 107 Trend 0 
2 		Model Error:440.965820607154[110976,111167] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[110976,111071] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[111072,111167] 107 Trend 0 
2 		Model Error:441.254145901541[111168,111359] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[111168,111263] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[111264,111359] 107 Trend 0 
2 		Model Error:480.350310098082[111360,111743] 109 Explicit 4 
3 			Model Error:1.81898940354586E-11[111360,111455] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[111456,111551] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[111552,111647] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[111648,111743] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[111744,111839] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[111840,111935] 107 Trend 0 
2 		Model Error:275.591294451347[111936,112127] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[111936,112031] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[112032,112127] 107 Trend 0 
1 	Model Error:875.783813548456[112128,113471] 119 Explicit 8 
2 		Model Error:421.029414892073[112128,112511] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[112128,112223] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[112224,112319] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[112320,112415] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[112416,112511] 107 Trend 0 
2 		Model Error:492.75354130748[112512,112703] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[112512,112607] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[112608,112703] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[112704,112799] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[112800,112895] 107 Trend 0 
2 		Model Error:173.652787657913[112896,113087] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[112896,112991] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[112992,113087] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[113088,113183] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[113184,113279] 107 Trend 0 
2 		Model Error:434.069813503833[113280,113471] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[113280,113375] 107 Trend 0 
3 			Model Error:2.5465851649642E-11[113376,113471] 107 Trend 0 
1 	Model Error:677.410679309774[113472,114527] 116 Explicit 8 
2 		Model Error:2.18278728425503E-11[113472,113567] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[113568,113663] 107 Trend 0 
2 		Model Error:466.809730112695[113664,113855] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[113664,113759] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[113760,113855] 106 Explicit 0 
2 		Model Error:374.721945085235[113856,114047] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[113856,113951] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[113952,114047] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[114048,114143] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[114144,114239] 107 Trend 0 
2 		Model Error:134.73989129917[114240,114431] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[114240,114335] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[114336,114431] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[114432,114527] 106 Explicit 0 
1 	Model Error:538.492968416424[114528,115007] 110 Explicit 4 
2 		Model Error:2.18278728425503E-11[114528,114623] 107 Trend 0 
2 		Model Error:278.675942254311[114624,114815] 107 Explicit 2 
3 			Model Error:2.5465851649642E-11[114624,114719] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[114720,114815] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[114816,114911] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[114912,115007] 106 Explicit 0 
1 	Model Error:785.574681338854[115008,115199] 107 Trend 2 
2 		Model Error:2.91038304567337E-11[115008,115103] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[115104,115199] 107 Trend 0 
1 	Model Error:541.541938726994[115200,115391] 107 Explicit 2 
2 		Model Error:4.00177668780088E-11[115200,115295] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[115296,115391] 107 Trend 0 
1 	Model Error:604.284328515183[115392,116447] 116 Explicit 8 
2 		Model Error:396.597709854439[115392,115583] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[115392,115487] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[115488,115583] 107 Trend 0 
2 		Model Error:170.418580919533[115584,115775] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[115584,115679] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[115680,115775] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[115776,115871] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[115872,115967] 106 Explicit 0 
2 		Model Error:449.481331890704[115968,116159] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[115968,116063] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[116064,116159] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[116160,116255] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[116256,116351] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[116352,116447] 107 Trend 0 
1 	Model Error:609.778354746362[116448,117695] 118 Explicit 8 
2 		Model Error:3.63797880709171E-11[116448,116543] 107 Trend 0 
2 		Model Error:375.311205245249[116544,116735] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[116544,116639] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[116640,116735] 107 Trend 0 
2 		Model Error:498.57130981356[116736,117119] 109 Explicit 4 
3 			Model Error:2.5465851649642E-11[116736,116831] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[116832,116927] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[116928,117023] 107 Trend 0 
