0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
3 			Model Error:2.91038304567337E-11%[1824,1919] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1920,2015] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2016,2111] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2112,2207] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2208,2303] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2304,2399] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[2400,2495] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2496,2591] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[2592,2687] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2688,2783] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2784,2879] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2880,2975] 101 Trend 0
3 			Model Error:4.00177668780088E-11%[2976,3071] 101 Trend 0
2 		Model Error:2494.87405009066%[3072,6143] 101 Trend 32
3 			Model Error:3.63797880709171E-11%[0,95] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[96,191] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[192,287] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[288,383] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[384,479] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[480,575] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[576,671] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[672,767] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[768,863] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[864,959] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[960,1055] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1056,1151] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[1152,1247] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1248,1343] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[1344,1439] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[1440,1535] 101 Trend 0
3 			Model Error:3.27418092638254E-11%[1536,1631] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1632,1727] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1728,1823] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1824,1919] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1920,2015] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2016,2111] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2112,2207] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2208,2303] 100 Explicit 0
