0 Model Error:3102.45916429981[0,1000000] 345 Explicit 82 
2 		Model Error:623.386644326863[459264,460799] 121 Explicit 0 
2 		Model Error:694.360138910808[460800,462335] 121 Explicit 0 
2 		Model Error:973.310350946114[462336,463871] 121 Explicit 0 
2 		Model Error:793.970695251614[463872,465407] 121 Explicit 0 
2 		Model Error:1354.4754842961[465408,466943] 121 Explicit 0 
1 	Model Error:5171.91993414211[466944,479231] 107 Implicit 8 
2 		Model Error:1153.06869834708[466944,468479] 121 Explicit 0 
2 		Model Error:2019.81008647748[468480,470015] 121 Explicit 0 
2 		Model Error:890.764687155184[470016,471551] 121 Explicit 0 
2 		Model Error:1232.00387751776[471552,473087] 121 Explicit 0 
2 		Model Error:1014.44199743296[473088,474623] 121 Explicit 0 
2 		Model Error:899.310296954733[474624,476159] 121 Explicit 0 
2 		Model Error:558.612636430727[476160,477695] 121 Explicit 0 
2 		Model Error:678.632771170509[477696,479231] 121 Explicit 0 
1 	Model Error:5909.77254946995[479232,491519] 107 Trend 8 
2 		Model Error:865.94745400863[479232,480767] 121 Explicit 0 
2 		Model Error:805.124066802498[480768,482303] 121 Explicit 0 
2 		Model Error:2277.10704927404[482304,483839] 107 Implicit 0 
2 		Model Error:746.663819624686[483840,485375] 121 Explicit 0 
2 		Model Error:2245.15342963374[485376,486911] 121 Explicit 0 
2 		Model Error:806.312172082471[486912,488447] 121 Explicit 0 
2 		Model Error:815.369475816529[488448,489983] 121 Explicit 0 
2 		Model Error:1943.83022411093[489984,491519] 121 Explicit 0 
1 	Model Error:4698.06558203205[491520,503807] 107 Implicit 8 
2 		Model Error:969.688261427946[491520,493055] 121 Explicit 0 
2 		Model Error:804.678246741685[493056,494591] 121 Explicit 0 
2 		Model Error:641.853066194555[494592,496127] 121 Explicit 0 
2 		Model Error:705.682387662986[496128,497663] 121 Explicit 0 
2 		Model Error:910.274046797207[497664,499199] 121 Explicit 0 
2 		Model Error:929.39092567144[499200,500735] 121 Explicit 0 
2 		Model Error:716.001464722482[500736,502271] 121 Explicit 0 
2 		Model Error:2205.07119443232[502272,503807] 121 Explicit 0 
1 	Model Error:4068.69699938235[503808,516095] 107 Implicit 8 
2 		Model Error:1187.02368063218[503808,505343] 121 Explicit 0 
2 		Model Error:860.748661904428[505344,506879] 121 Explicit 0 
2 		Model Error:1952.16117362545[506880,508415] 107 Implicit 0 
2 		Model Error:1022.39598459292[508416,509951] 121 Explicit 0 
2 		Model Error:815.309474418696[509952,511487] 121 Explicit 0 
2 		Model Error:558.662199378585[511488,513023] 121 Explicit 0 
2 		Model Error:689.777972958509[513024,514559] 121 Explicit 0 
2 		Model Error:893.989418361045[514560,516095] 121 Explicit 0 
1 	Model Error:5750.19535120636[516096,528383] 107 Trend 8 
2 		Model Error:780.771311519045[516096,517631] 121 Explicit 0 
2 		Model Error:2090.4587174418[517632,519167] 107 Implicit 0 
2 		Model Error:720.916818192345[519168,520703] 121 Explicit 0 
2 		Model Error:2238.39771330806[520704,522239] 121 Explicit 0 
2 		Model Error:863.68758848622[522240,523775] 121 Explicit 0 
2 		Model Error:902.994833165285[523776,525311] 121 Explicit 0 
2 		Model Error:1432.33908825542[525312,526847] 121 Explicit 0 
2 		Model Error:919.023767687682[526848,528383] 121 Explicit 0 
1 	Model Error:5015.84773928439[528384,540671] 107 Implicit 8 
2 		Model Error:713.086814281931[528384,529919] 121 Explicit 0 
2 		Model Error:650.956876967386[529920,531455] 121 Explicit 0 
2 		Model Error:727.466136427083[531456,532991] 121 Explicit 0 
2 		Model Error:821.090101768903[532992,534527] 121 Explicit 0 
2 		Model Error:1919.62293103852[534528,536063] 107 Implicit 0 
2 		Model Error:679.709499600609[536064,537599] 121 Explicit 0 
2 		Model Error:2293.25300626389[537600,539135] 121 Explicit 0 
2 		Model Error:839.514047133351[539136,540671] 121 Explicit 0 
1 	Model Error:4774.76067735651[540672,552959] 107 Implicit 8 
2 		Model Error:790.548981476168[540672,542207] 121 Explicit 0 
2 		Model Error:2348.65484907339[542208,543743] 107 Implicit 0 
2 		Model Error:970.200005338891[543744,545279] 121 Explicit 0 
2 		Model Error:807.758435431817[545280,546815] 121 Explicit 0 
2 		Model Error:592.622289776227[546816,548351] 121 Explicit 0 
2 		Model Error:689.52407509934[548352,549887] 121 Explicit 0 
2 		Model Error:977.042423641753[549888,551423] 121 Explicit 0 
2 		Model Error:799.751613166736[551424,552959] 121 Explicit 0 
1 	Model Error:5296.25441258506[552960,565247] 107 Trend 8 
2 		Model Error:1627.54206891947[552960,554495] 107 Implicit 0 
2 		Model Error:995.438909959295[554496,556031] 121 Explicit 0 
2 		Model Error:2121.92909926602[556032,557567] 121 Explicit 0 
2 		Model Error:847.905923605649[557568,559103] 121 Explicit 0 
2 		Model Error:1136.25859805078[559104,560639] 121 Explicit 0 
2 		Model Error:1088.77477039803[560640,562175] 121 Explicit 0 
2 		Model Error:924.006506854304[562176,563711] 121 Explicit 0 
2 		Model Error:622.402235270354[563712,565247] 121 Explicit 0 
1 	Model Error:4833.75529531454[565248,577535] 107 Implicit 8 
2 		Model Error:686.610503880474[565248,566783] 121 Explicit 0 
2 		Model Error:825.890475468168[566784,568319] 121 Explicit 0 
2 		Model Error:853.380623949604[568320,569855] 121 Explicit 0 
2 		Model Error:2252.99701599849[569856,571391] 107 Implicit 0 
