0 Model Error:0.111767037840536[0,99999] 1102 Explicit 1
1 	Model Error:0.111767037840536[0,99999] 1102 Explicit 1
5 					Model Error:1.47792889038101E-12[29000,29099] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[29100,29199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[29200,29299] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[29300,29399] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[29400,29499] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[29500,29599] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[29600,29699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[29700,29799] 103 Explicit 0
5 					Model Error:1.70530256582424E-13[29800,29899] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[29900,29999] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[30000,30099] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[30100,30199] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[30200,30299] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[30300,30399] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[30400,30499] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[30500,30599] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[30600,30699] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[30700,30799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[30800,30899] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[30900,30999] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[31000,31099] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[31100,31199] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[31200,31299] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[31300,31399] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[31400,31499] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[31500,31599] 103 Explicit 0
5 					Model Error:1.70530256582424E-13[31600,31699] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[31700,31799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[31800,31899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[31900,31999] 103 Explicit 0
5 					Model Error:2.41584530158434E-13[32000,32099] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[32100,32199] 103 Explicit 0
5 					Model Error:9.66338120633736E-13[32200,32299] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[32300,32399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[32400,32499] 103 Explicit 0
5 					Model Error:4.2632564145606E-13[32500,32599] 103 Explicit 0
5 					Model Error:4.2632564145606E-13[32600,32699] 103 Explicit 0
5 					Model Error:2.38742359215394E-12[32700,32799] 103 Explicit 0
5 					Model Error:8.5265128291212E-13[32800,32899] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[32900,32999] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[33000,33099] 103 Explicit 0
5 					Model Error:4.2632564145606E-13[33100,33199] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[33200,33299] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[33300,33399] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[33400,33499] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[33500,33599] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[33600,33699] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[33700,33799] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[33800,33899] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[33900,33999] 104 Trend 0
5 					Model Error:8.5265128291212E-13[34000,34099] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[34100,34199] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[34200,34299] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[34300,34399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[34400,34499] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[34500,34599] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[34600,34699] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[34700,34799] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[34800,34899] 103 Explicit 0
5 					Model Error:9.9475983006414E-14[34900,34999] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[35000,35099] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[35100,35199] 103 Explicit 0
5 					Model Error:9.9475983006414E-14[35200,35299] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[35300,35399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[35400,35499] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[35500,35599] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[35600,35699] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[35700,35799] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[35800,35899] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[35900,35999] 103 Explicit 0
5 					Model Error:1.93267624126747E-12[36000,36099] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[36100,36199] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[36200,36299] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[36300,36399] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[36400,36499] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[36500,36599] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[36600,36699] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[36700,36799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[36800,36899] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[36900,36999] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[37000,37099] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[37100,37199] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[37200,37299] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[37300,37399] 103 Explicit 0
5 					Model Error:7.38964445190504E-13[37400,37499] 103 Explicit 0
5 					Model Error:1.98951966012828E-13[37500,37599] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[37600,37699] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[37700,37799] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[37800,37899] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[37900,37999] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[38000,38099] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[38100,38199] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[38200,38299] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[38300,38399] 103 Explicit 0
5 					Model Error:1.70530256582424E-13[38400,38499] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[38500,38599] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[38600,38699] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[38700,38799] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[38800,38899] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[38900,38999] 103 Explicit 0
